# NCBI taxid / refseq / STRING 
9606	NP_001166366|NP_001166367|NP_001166368|NP_001744	9606.ENSP00000339191
9606	NP_004496|XP_005256902	9606.ENSP00000460380
9606	NP_004445	9606.ENSP00000306894
9606	NP_005599	9606.ENSP00000325589
9606	NP_001001557	9606.ENSP00000287020
9606	NP_001124506|NP_001180247|NP_919420|XP_005272332|XP_006713941	9606.ENSP00000389709
9606	NP_950248	9606.ENSP00000247219
9606	NP_001273572|NP_057026|XP_005250983|XP_005250984|XP_006716631|XP_006716632|XP_006716633	9606.ENSP00000287025
9606	NP_775746	9606.ENSP00000319482
9606	NP_004789	9606.ENSP00000364864
9606	NP_005241	9606.ENSP00000326272
9606	NP_005827	9606.ENSP00000254878
9606	NP_001116836	9606.ENSP00000344071
9606	NP_612460|XP_005253889|XP_005253890	9606.ENSP00000299732
9606	NP_085132|NP_938204|XP_005256236|XP_005256238|XP_005256239|XP_006721348	9606.ENSP00000446100
9606	NP_001182027|NP_001182028|NP_056014|XP_005265053|XP_005265054|XP_005265055|XP_006713137|XP_006713138|XP_006713139	9606.ENSP00000382379
9606	NP_061161|XP_005268416|XP_005268417|XP_005268418	9606.ENSP00000341597
9606	NP_001193943|NP_001226|XP_006718790|XP_006718791|XP_006718792	9606.ENSP00000434412
9606	NP_001191421|NP_001213|NP_751909|NP_751910|NP_751911|NP_751913|XP_005270252|XP_005270254|XP_005270255|XP_005270256|XP_005270257|XP_005270258|XP_005270259|XP_005270260|XP_005270262|XP_006718056|XP_006718058|XP_006718059|XP_006718060|XP_006718061|XP_006718062|XP_006718063	9606.ENSP00000319060
9606	NP_689860|XP_005254273|XP_005254276|XP_005254277|XP_006720487|XP_006720488	9606.ENSP00000299338
9606	NP_001139784|NP_705832|XP_005256921	9606.ENSP00000401678
9606	NP_001186670|NP_001186671|NP_001915	9606.ENSP00000360025
9606	NP_006546|XP_005249639	9606.ENSP00000223369
9606	NP_113642	9606.ENSP00000370288
9606	NP_055524	9606.ENSP00000381577
9606	NP_061720	9606.ENSP00000311273
9606	NP_061129	9606.ENSP00000303550
9606	NP_955631	9606.ENSP00000393275
9606	NP_877434|XP_005249041|XP_005249042|XP_005249043	9606.ENSP00000259939
9606	NP_001239526|NP_001239527|NP_001823	9606.ENSP00000259938
9606	NP_001073986|NP_001278972|XP_005265356|XP_005265358|XP_005265360|XP_006713298|XP_006713299|XP_006713300|XP_006713301|XP_006713302|XP_006713303|XP_006713304|XP_006713305|XP_006713306|XP_006713307|XP_006713308	9606.ENSP00000385852
9606	NP_000153|NP_277042|NP_277043	9606.ENSP00000223366
9606	NP_003328	9606.ENSP00000265339
9606	NP_061728|NP_113683|NP_113684	9606.ENSP00000431748
9606	NP_001008710|NP_001008711|NP_001008712|NP_006858|XP_005273443|XP_005273447|XP_006716340|XP_006716341|XR_428304	9606.ENSP00000340176
