Gene Symbol	CUI Term	Phenotype Name	
DGKK	C0848558	Hypospadias	
HAAO	C0848558	Hypospadias	
EEFSEC	C0848558	Hypospadias	
E2F4P1	C0848558	Hypospadias	
DAAM2	C0848558	Hypospadias	
ZFHX3	C0848558	Hypospadias	
IRX5	C0848558	Hypospadias	
IRX6	C0848558	Hypospadias	
TTC4P1	C0848558	Hypospadias	
HMGN1P19	C0848558	Hypospadias	
XKR9	C0848558	Hypospadias	
EYA1	C0848558	Hypospadias	
LINC00977	C0848558	Hypospadias	
MIR3686	C0848558	Hypospadias	
TAX1BP1	C0848558	Hypospadias	
HOXA3	C0848558	Hypospadias	
HOXA4	C0848558	Hypospadias	
HOXA-AS2	C0848558	Hypospadias	
PKDCC	C0848558	Hypospadias	
EML4	C0848558	Hypospadias	
KCNMA1	C0848558	Hypospadias	
GREM1	C0848558	Hypospadias	
FTH1P21	C0848558	Hypospadias	
PDGFC	C0848558	Hypospadias	
DNAH6	C0848558	Hypospadias	
EXOC3	C0848558	Hypospadias	
CCDC59	C0848558	Hypospadias	
ADK	C0848558	Hypospadias	
MARK2P11	C0848558	Hypospadias	
EBF1	C0848558	Hypospadias	
LINC00917	C0848558	Hypospadias	
FENDRR	C0848558	Hypospadias	
LOC285740	C0848558	Hypospadias	
ST5	C0848558	Hypospadias	
SCN10A	C1142166	Brugada Syndrome	
HEY2	C1142166	Brugada Syndrome	
TRE-CTC1-7	C1142166	Brugada Syndrome	
SCN5A	C1142166	Brugada Syndrome	
PKD2	C0018099	Gout	
ABCG2	C0018099	Gout	
SLC2A9	C0018099	Gout	
MYL2	C0018099	Gout	
CUX2	C0018099	Gout	
BCAS3	C0018099	Gout	
TAB3	C0018099	Gout	
FTHL17	C0018099	Gout	
GCKR	C0018099	Gout	
AGBL4	C0018099	Gout	
ZFYVE9P1	C0018099	Gout	
MAGEA13P	C0018099	Gout	
LINC00907	C0018099	Gout	
RELN	C0018099	Gout	
MRPS33P2	C0018099	Gout	
LINC01258	C0018099	Gout	
ASIC2	C0018099	Gout	
CNTLN	C0018099	Gout	
TMSB4XP8	C0018099	Gout	
GRID2	C0018099	Gout	
TLL1	C0018099	Gout	
CNIH2	C0018099	Gout	
KCNQ1	C0018099	Gout	
ATP1A4	C0018099	Gout	
RARB	C0018099	Gout	
LRTM1	C0018099	Gout	
WNT5A	C0018099	Gout	
PPARGC1A	C0018099	Gout	
FAT1	C0018099	Gout	
MRPS36P2	C0018099	Gout	
FSTL4	C0018099	Gout	
PPARD	C0018099	Gout	
SLC22A1	C0018099	Gout	
JAZF1	C0018099	Gout	
PDE1C	C0018099	Gout	
TPST1	C0018099	Gout	
HGF	C0018099	Gout	
LHFPL3	C0018099	Gout	
CFTR	C0018099	Gout	
TRPA1	C0018099	Gout	
RNA5SP271	C0018099	Gout	
PTPRD	C0018099	Gout	
ABCA1	C0018099	Gout	
CYP2C8	C0018099	Gout	
CYP2E1	C0018099	Gout	
SLC22A18AS	C0018099	Gout	
ABCC8	C0018099	Gout	
ALX4	C0018099	Gout	
MAP3K11	C0018099	Gout	
WNT5B	C0018099	Gout	
ABCC9	C0018099	Gout	
VDR	C0018099	Gout	
BDKRB2	C0018099	Gout	
LOC102724766	C0018099	Gout	
RBFOX1	C0018099	Gout	
PRKCA	C0018099	Gout	
KRT18P3	C0018099	Gout	
CYB5AP4	C0018099	Gout	
SLC13A3	C0018099	Gout	
ABCG1	C0018099	Gout	
CTBP2P3	C0018099	Gout	
HMGN1P31	C0018099	Gout	
CLDN24	C0018099	Gout	
CDKN2AIP	C0018099	Gout	
FGFR2	C0018099	Gout	
OR13C3	C0018099	Gout	
OR13C8	C0018099	Gout	
SLC22A11	C0018099	Gout	
GRIK2	C0018099	Gout	
TTC6	C0018099	Gout	
SSTR1	C0018099	Gout	
BCL11A	C0002895	Anemia, Sickle Cell	
OR51L1	C0002895	Anemia, Sickle Cell	
OR51P1P	C0002895	Anemia, Sickle Cell	
UGT1A1	C0002895	Anemia, Sickle Cell	
UGT1A4	C0002895	Anemia, Sickle Cell	
UGT1A8	C0002895	Anemia, Sickle Cell	
UGT1A6	C0002895	Anemia, Sickle Cell	
UGT1A10	C0002895	Anemia, Sickle Cell	
UGT1A7	C0002895	Anemia, Sickle Cell	
UGT1A5	C0002895	Anemia, Sickle Cell	
UGT1A9	C0002895	Anemia, Sickle Cell	
UGT1A3	C0002895	Anemia, Sickle Cell	
MIR3662	C0002895	Anemia, Sickle Cell	
MYB	C0002895	Anemia, Sickle Cell	
OR51I1	C0002895	Anemia, Sickle Cell	
OR51I2	C0002895	Anemia, Sickle Cell	
NPRL3	C0002895	Anemia, Sickle Cell	
ARAP1	C0002895	Anemia, Sickle Cell	
B3GAT2	C0002895	Anemia, Sickle Cell	
LYPLA1P3	C0002895	Anemia, Sickle Cell	
MIR4301	C0002895	Anemia, Sickle Cell	
TMPRSS5	C0002895	Anemia, Sickle Cell	
NCK2	C0002895	Anemia, Sickle Cell	
C2orf40	C0002895	Anemia, Sickle Cell	
MCC	C0002895	Anemia, Sickle Cell	
HLX-AS1	C0002895	Anemia, Sickle Cell	
LINC01191	C0002895	Anemia, Sickle Cell	
SEPHS1P7	C0002895	Anemia, Sickle Cell	
TENM3	C0002895	Anemia, Sickle Cell	
LRRTM1	C0002895	Anemia, Sickle Cell	
MTND4P25	C0002895	Anemia, Sickle Cell	
PHEX	C0002895	Anemia, Sickle Cell	
ABCB11	C0002895	Anemia, Sickle Cell	
LOC102724020	C0002895	Anemia, Sickle Cell	
CLEC12B	C0002895	Anemia, Sickle Cell	
SAR1AP3	C0002895	Anemia, Sickle Cell	
PRDM5	C0002895	Anemia, Sickle Cell	
ATP6V0A4	C0002895	Anemia, Sickle Cell	
LOC101927854	C0002895	Anemia, Sickle Cell	
THRB	C0002895	Anemia, Sickle Cell	
PDE5A	C0002895	Anemia, Sickle Cell	
MAD2L1	C0002895	Anemia, Sickle Cell	
RNA5SP87	C0002895	Anemia, Sickle Cell	
KLHL29	C0002895	Anemia, Sickle Cell	
YTHDC2	C0002895	Anemia, Sickle Cell	
KCNN2	C0002895	Anemia, Sickle Cell	
PLEKHG1	C0002895	Anemia, Sickle Cell	
CSMD1	C0002895	Anemia, Sickle Cell	
TMEFF2	C0002895	Anemia, Sickle Cell	
MICA	C0004943	Behcet Syndrome	
HLA-X	C0004943	Behcet Syndrome	
DHFRP2	C0004943	Behcet Syndrome	
FGFR3P1	C0004943	Behcet Syndrome	
HCG22	C0004943	Behcet Syndrome	
C6orf15	C0004943	Behcet Syndrome	
PSORS1C1	C0004943	Behcet Syndrome	
IL10	C0004943	Behcet Syndrome	
HLA-B	C0004943	Behcet Syndrome	
RPL3P2	C0004943	Behcet Syndrome	
WASF5P	C0004943	Behcet Syndrome	
FLT1P1	C0004943	Behcet Syndrome	
CCR1	C0004943	Behcet Syndrome	
LOC101929072	C0004943	Behcet Syndrome	
HLA-S	C0004943	Behcet Syndrome	
HCP5	C0004943	Behcet Syndrome	
IL23R	C0004943	Behcet Syndrome	
IL12RB2	C0004943	Behcet Syndrome	
MOG	C0004943	Behcet Syndrome	
MICG	C0004943	Behcet Syndrome	
HCG4P8	C0004943	Behcet Syndrome	
LOC102724748	C0004943	Behcet Syndrome	
ERAP1	C0004943	Behcet Syndrome	
PSORS1C3	C0004943	Behcet Syndrome	
HCG27	C0004943	Behcet Syndrome	
HCG9	C0004943	Behcet Syndrome	
DDX39BP2	C0004943	Behcet Syndrome	
IL12A-AS1	C0004943	Behcet Syndrome	
ZNRD1-AS1	C0004943	Behcet Syndrome	
CCHCR1	C0004943	Behcet Syndrome	
STAT4	C0004943	Behcet Syndrome	
KLRC4	C0004943	Behcet Syndrome	
KLRC4-KLRK1	C0004943	Behcet Syndrome	
HLA-C	C0004943	Behcet Syndrome	
HCG26	C0004943	Behcet Syndrome	
PSORS1C2	C0004943	Behcet Syndrome	
TFCP2L1	C0004943	Behcet Syndrome	
IFITM4P	C0004943	Behcet Syndrome	
3.8-1.5	C0004943	Behcet Syndrome	
LINC01149	C0004943	Behcet Syndrome	
LINC00243	C0004943	Behcet Syndrome	
DDR1	C0004943	Behcet Syndrome	
HLA-F-AS1	C0004943	Behcet Syndrome	
SUMO2P1	C0004943	Behcet Syndrome	
CPLX1	C0004943	Behcet Syndrome	
NAPGP2	C0004943	Behcet Syndrome	
MUC21	C0004943	Behcet Syndrome	
HLA-W	C0004943	Behcet Syndrome	
MICD	C0004943	Behcet Syndrome	
HCG21	C0004943	Behcet Syndrome	
DPCR1	C0004943	Behcet Syndrome	
HCG4	C0004943	Behcet Syndrome	
DDX39B	C0004943	Behcet Syndrome	
ATP6V1G2-DDX39B	C0004943	Behcet Syndrome	
SNORD117	C0004943	Behcet Syndrome	
MCCD1	C0004943	Behcet Syndrome	
RNF39	C0004943	Behcet Syndrome	
TRIM31	C0004943	Behcet Syndrome	
HCG17	C0004943	Behcet Syndrome	
LTA	C0004943	Behcet Syndrome	
TRIM31-AS1	C0004943	Behcet Syndrome	
TRIM40	C0004943	Behcet Syndrome	
HCG18	C0004943	Behcet Syndrome	
MUC22	C0004943	Behcet Syndrome	
MICC	C0004943	Behcet Syndrome	
TMPOP1	C0004943	Behcet Syndrome	
PPIAP9	C0004943	Behcet Syndrome	
RPL15P4	C0004943	Behcet Syndrome	
HLA-U	C0004943	Behcet Syndrome	
HCG4P5	C0004943	Behcet Syndrome	
HLA-F	C0004943	Behcet Syndrome	
TRIM26	C0004943	Behcet Syndrome	
NFKBIL1	C0004943	Behcet Syndrome	
MICF	C0004943	Behcet Syndrome	
3.8-1.4	C0004943	Behcet Syndrome	
C1GALT1	C0004943	Behcet Syndrome	
COL28A1	C0004943	Behcet Syndrome	
HLA-E	C0004943	Behcet Syndrome	
FOXP1	C0004943	Behcet Syndrome	
NCR3	C0004943	Behcet Syndrome	
UQCRHP1	C0004943	Behcet Syndrome	
RYBP	C0004943	Behcet Syndrome	
SHQ1	C0004943	Behcet Syndrome	
ATP6V1G2	C0004943	Behcet Syndrome	
ZFP57	C0004943	Behcet Syndrome	
ZDHHC20P1	C0004943	Behcet Syndrome	
VARS2	C0004943	Behcet Syndrome	
LACC1	C0004943	Behcet Syndrome	
SFTA2	C0004943	Behcet Syndrome	
ISX	C0004943	Behcet Syndrome	
COX7BP1	C0004943	Behcet Syndrome	
HCG4P7	C0004943	Behcet Syndrome	
GPM6A	C0004943	Behcet Syndrome	
TCF19	C0004943	Behcet Syndrome	
POU5F1	C0004943	Behcet Syndrome	
CSMD1	C0004943	Behcet Syndrome	
HCG20	C0004943	Behcet Syndrome	
ABCB5	C0004943	Behcet Syndrome	
SP8	C0004943	Behcet Syndrome	
MICB	C0004943	Behcet Syndrome	
KSR2	C0004943	Behcet Syndrome	
RFC5	C0004943	Behcet Syndrome	
FBXL2	C0004943	Behcet Syndrome	
NSMCE2	C0004943	Behcet Syndrome	
HMGXB4	C0004943	Behcet Syndrome	
HLA-DOB	C0004943	Behcet Syndrome	
TAP2	C0004943	Behcet Syndrome	
RPL26P5	C0004943	Behcet Syndrome	
LINC01197	C0004943	Behcet Syndrome	
IL22RA2	C0004943	Behcet Syndrome	
IFNGR1	C0004943	Behcet Syndrome	
UBP1	C0004943	Behcet Syndrome	
CLASP2	C0004943	Behcet Syndrome	
WDFY4	C0004943	Behcet Syndrome	
CCR3	C0004943	Behcet Syndrome	
UQCRC2P1	C0004943	Behcet Syndrome	
MCF2L2	C0004943	Behcet Syndrome	
CEBPB	C0004943	Behcet Syndrome	
COX6CP2	C0004943	Behcet Syndrome	
SNX18	C0004943	Behcet Syndrome	
ESM1	C0004943	Behcet Syndrome	
ADAMTS9-AS2	C0004943	Behcet Syndrome	
MAGI1	C0004943	Behcet Syndrome	
C3orf80	C0004943	Behcet Syndrome	
IFT80	C0004943	Behcet Syndrome	
EFCAB11	C0004943	Behcet Syndrome	
PPP1R10	C0004943	Behcet Syndrome	
MDC1	C0004943	Behcet Syndrome	
LINC01107	C0004943	Behcet Syndrome	
TWIST2	C0004943	Behcet Syndrome	
JARID2	C0004943	Behcet Syndrome	
NRBF2P2	C0004943	Behcet Syndrome	
IL1R2	C0004943	Behcet Syndrome	
DGKZP1	C0004943	Behcet Syndrome	
WWTR1	C0004943	Behcet Syndrome	
PAPPA-AS1	C0004943	Behcet Syndrome	
ASTN2	C0004943	Behcet Syndrome	
LOC101928205	C0004943	Behcet Syndrome	
CCDC42	C0004943	Behcet Syndrome	
POLR2M	C0004943	Behcet Syndrome	
ALDH1A2	C0004943	Behcet Syndrome	
TMEM233	C0004943	Behcet Syndrome	
PRKAB1	C0004943	Behcet Syndrome	
UBE2QL1	C0004943	Behcet Syndrome	
LINC01018	C0004943	Behcet Syndrome	
UBD	C0004943	Behcet Syndrome	
OR2H5P	C0004943	Behcet Syndrome	
MIR1284	C0004943	Behcet Syndrome	
EIF4E3	C0004943	Behcet Syndrome	
LZTFL1	C0004943	Behcet Syndrome	
MYRFL	C0004943	Behcet Syndrome	
CNOT2	C0004943	Behcet Syndrome	
ACSBG1	C0004943	Behcet Syndrome	
FXYD5	C0004943	Behcet Syndrome	
NR3C1	C0004943	Behcet Syndrome	
FYCO1	C0004943	Behcet Syndrome	
ILDR1	C0004943	Behcet Syndrome	
RPS26P53	C0004943	Behcet Syndrome	
CDHR3	C0004943	Behcet Syndrome	
CDK20	C0004943	Behcet Syndrome	
RPS10P3	C0004943	Behcet Syndrome	
CDSN	C0004943	Behcet Syndrome	
RANBP20P	C0004943	Behcet Syndrome	
EDDM3DP	C0004943	Behcet Syndrome	
MIR3141	C0004943	Behcet Syndrome	
LARP1	C0004943	Behcet Syndrome	
UBQLN1P1	C0004943	Behcet Syndrome	
BMP2	C0010278	Craniosynostoses	
MIR8062	C0010278	Craniosynostoses	
BBS9	C0010278	Craniosynostoses	
TNIP1	C0011615	Dermatitis, Atopic	
ANXA6	C0011615	Dermatitis, Atopic	
PRKRA	C0011615	Dermatitis, Atopic	
LOC101927027	C0011615	Dermatitis, Atopic	
CRNN	C0011615	Dermatitis, Atopic	
LCE5A	C0011615	Dermatitis, Atopic	
CRCT1	C0011615	Dermatitis, Atopic	
LCE3E	C0011615	Dermatitis, Atopic	
RPTN	C0011615	Dermatitis, Atopic	
HRNR	C0011615	Dermatitis, Atopic	
OR10A3	C0011615	Dermatitis, Atopic	
NLRP10	C0011615	Dermatitis, Atopic	
RASIP1	C0011615	Dermatitis, Atopic	
GLB1	C0011615	Dermatitis, Atopic	
KIRREL3-AS3	C0011615	Dermatitis, Atopic	
ETS1	C0011615	Dermatitis, Atopic	
ZNF365	C0011615	Dermatitis, Atopic	
GPSM3	C0011615	Dermatitis, Atopic	
PBX2	C0011615	Dermatitis, Atopic	
CCDC80	C0011615	Dermatitis, Atopic	
CD200R1L	C0011615	Dermatitis, Atopic	
OVOL1	C0011615	Dermatitis, Atopic	
OVOL1-AS1	C0011615	Dermatitis, Atopic	
C6orf10	C0011615	Dermatitis, Atopic	
RAD50	C0011615	Dermatitis, Atopic	
AP5B1	C0011615	Dermatitis, Atopic	
RPS5P5	C0011615	Dermatitis, Atopic	
ZBTB10	C0011615	Dermatitis, Atopic	
IL18R1	C0011615	Dermatitis, Atopic	
WASF5P	C0011615	Dermatitis, Atopic	
HLA-B	C0011615	Dermatitis, Atopic	
LCE1E	C0011615	Dermatitis, Atopic	
IL13	C0011615	Dermatitis, Atopic	
SPRR3	C0011615	Dermatitis, Atopic	
SPRR1B	C0011615	Dermatitis, Atopic	
C11orf30	C0011615	Dermatitis, Atopic	
LRRC32	C0011615	Dermatitis, Atopic	
LOC101927178	C0011615	Dermatitis, Atopic	
PPP2R3C	C0011615	Dermatitis, Atopic	
IL7R	C0011615	Dermatitis, Atopic	
CAPSL	C0011615	Dermatitis, Atopic	
TNXB	C0011615	Dermatitis, Atopic	
IL18RAP	C0011615	Dermatitis, Atopic	
RTEL1-TNFRSF6B	C0011615	Dermatitis, Atopic	
RTEL1	C0011615	Dermatitis, Atopic	
ADAMTS10	C0011615	Dermatitis, Atopic	
ACTL9	C0011615	Dermatitis, Atopic	
FLG-AS1	C0011615	Dermatitis, Atopic	
KIF3A	C0011615	Dermatitis, Atopic	
CLEC16A	C0011615	Dermatitis, Atopic	
IL15RA	C0011615	Dermatitis, Atopic	
IL2RA	C0011615	Dermatitis, Atopic	
PTPRN2	C0011615	Dermatitis, Atopic	
MIR6720	C0011615	Dermatitis, Atopic	
ELF2P2	C0011615	Dermatitis, Atopic	
IL6R	C0011615	Dermatitis, Atopic	
TNFRSF6B	C0011615	Dermatitis, Atopic	
MRPS21	C0011615	Dermatitis, Atopic	
HLA-DRB1	C0011615	Dermatitis, Atopic	
HLA-DQA1	C0011615	Dermatitis, Atopic	
RPL6P25	C0011615	Dermatitis, Atopic	
SLC6A15	C0011615	Dermatitis, Atopic	
REL	C0011615	Dermatitis, Atopic	
CARD11	C0011615	Dermatitis, Atopic	
SDK1	C0011615	Dermatitis, Atopic	
CD207	C0011615	Dermatitis, Atopic	
VAX2	C0011615	Dermatitis, Atopic	
UBA52P6	C0011615	Dermatitis, Atopic	
DMRTA1	C0011615	Dermatitis, Atopic	
LGMNP1	C0011615	Dermatitis, Atopic	
STARP1	C0011615	Dermatitis, Atopic	
EFHC1	C0011615	Dermatitis, Atopic	
CYP24A1	C0011615	Dermatitis, Atopic	
PFDN4	C0011615	Dermatitis, Atopic	
LINC00299	C0011615	Dermatitis, Atopic	
SNRPEP5	C0011615	Dermatitis, Atopic	
XIRP2	C0011615	Dermatitis, Atopic	
XIRP2-AS1	C0011615	Dermatitis, Atopic	
LINC01209	C0011615	Dermatitis, Atopic	
MTND5P15	C0011615	Dermatitis, Atopic	
IKZF3	C0011615	Dermatitis, Atopic	
MYT1L	C0011615	Dermatitis, Atopic	
PUS10	C0011615	Dermatitis, Atopic	
NBAS	C0011615	Dermatitis, Atopic	
ZGLP1	C0011615	Dermatitis, Atopic	
TRPC3	C0011615	Dermatitis, Atopic	
KIAA1109	C0011615	Dermatitis, Atopic	
RNA5SP299	C0011615	Dermatitis, Atopic	
LINC00709	C0011615	Dermatitis, Atopic	
RNF111	C0011615	Dermatitis, Atopic	
STAT3	C0011615	Dermatitis, Atopic	
CEP76	C0011615	Dermatitis, Atopic	
PTPN2	C0011615	Dermatitis, Atopic	
ALDH7A1P4	C0011615	Dermatitis, Atopic	
ADO	C0011615	Dermatitis, Atopic	
THA1P	C0011615	Dermatitis, Atopic	
SOCS3	C0011615	Dermatitis, Atopic	
LOC101927260	C0011615	Dermatitis, Atopic	
HNRNPA1P74	C0011615	Dermatitis, Atopic	
RSL24D1	C0011615	Dermatitis, Atopic	
SCAPER	C0011615	Dermatitis, Atopic	
LINC00824	C0011615	Dermatitis, Atopic	
CHST8	C0011615	Dermatitis, Atopic	
MGMT	C0011615	Dermatitis, Atopic	
KRT8P26	C0011615	Dermatitis, Atopic	
THEMIS	C0011615	Dermatitis, Atopic	
IL1R1	C0011615	Dermatitis, Atopic	
PRR5L	C0011615	Dermatitis, Atopic	
MFN2	C0011615	Dermatitis, Atopic	
IL2	C0011615	Dermatitis, Atopic	
IL21	C0011615	Dermatitis, Atopic	
PKDCC	C0011615	Dermatitis, Atopic	
DDX39B	C0011615	Dermatitis, Atopic	
ATP6V1G2-DDX39B	C0011615	Dermatitis, Atopic	
AKAP8P1	C0011615	Dermatitis, Atopic	
JKAMPP1	C0011615	Dermatitis, Atopic	
GRM4	C0011615	Dermatitis, Atopic	
STEAP2-AS1	C0011615	Dermatitis, Atopic	
SMARCA4	C0011615	Dermatitis, Atopic	
LDLR	C0011615	Dermatitis, Atopic	
TGM3	C0011615	Dermatitis, Atopic	
OR2W5	C0011615	Dermatitis, Atopic	
NCF4	C0011615	Dermatitis, Atopic	
R3HCC1L	C0011615	Dermatitis, Atopic	
MRPL49P2	C0011615	Dermatitis, Atopic	
FGF20	C0011615	Dermatitis, Atopic	
KPNA3	C0011615	Dermatitis, Atopic	
USP12PY	C0010417	Cryptorchidism	
RNF19BPY	C0010417	Cryptorchidism	
LRRC4C	C0010417	Cryptorchidism	
MSRA	C0010417	Cryptorchidism	
IMMP2L	C0010417	Cryptorchidism	
RALYL	C0010417	Cryptorchidism	
UBE2V1P3	C0010417	Cryptorchidism	
NFIA	C0010417	Cryptorchidism	
AGAP7P	C0010417	Cryptorchidism	
ANTXRLP1	C0010417	Cryptorchidism	
GOT2P1	C0010417	Cryptorchidism	
RPSAP20	C0010417	Cryptorchidism	
DDR1	C0010417	Cryptorchidism	
TRPC4	C0010417	Cryptorchidism	
HSPD1P9	C0010417	Cryptorchidism	
CADM1	C0010417	Cryptorchidism	
GLIS3	C0010417	Cryptorchidism	
CCDC140	C0010417	Cryptorchidism	
SGPP2	C0010417	Cryptorchidism	
MIR3654	C0010417	Cryptorchidism	
ST13P7	C0010417	Cryptorchidism	
FER	C0010417	Cryptorchidism	
LINC01081	C0010417	Cryptorchidism	
LINC00917	C0010417	Cryptorchidism	
COQ10BP2	C0010417	Cryptorchidism	
VCAN	C0010417	Cryptorchidism	
DIRAS2	C0010417	Cryptorchidism	
OR7E109P	C0010417	Cryptorchidism	
WDR72	C0010417	Cryptorchidism	
UNC13C	C0010417	Cryptorchidism	
DDHD1	C0010417	Cryptorchidism	
RPS3AP46	C0010417	Cryptorchidism	
FMN1	C0010417	Cryptorchidism	
RPL23P4	C0010417	Cryptorchidism	
MIR4268	C0010417	Cryptorchidism	
CTD-2194D22.4	C0010417	Cryptorchidism	
IRX2	C0010417	Cryptorchidism	
NAV2	C0010417	Cryptorchidism	
TOR1AIP2	C0010417	Cryptorchidism	
BMP2	C0010417	Cryptorchidism	
MIR8062	C0010417	Cryptorchidism	
CTNNA3	C0010417	Cryptorchidism	
SH3RF3	C0010417	Cryptorchidism	
LOC102724819	C0010417	Cryptorchidism	
PTPRD	C0010417	Cryptorchidism	
MYO18B	C0010417	Cryptorchidism	
SOCS5P5	C0010417	Cryptorchidism	
RPS27AP11	C0010417	Cryptorchidism	
EIF4BP4	C0010417	Cryptorchidism	
LYZL4	C0010417	Cryptorchidism	
RPL23AP54	C0010417	Cryptorchidism	
MCPH1	C0010417	Cryptorchidism	
TSPAN15	C0010417	Cryptorchidism	
HNRNPA1P4	C0010417	Cryptorchidism	
TGFBR3	C0010417	Cryptorchidism	
ZNF669	C0010417	Cryptorchidism	
FLJ39095	C0010417	Cryptorchidism	
TDGP1	C0010417	Cryptorchidism	
MIR4302	C0010417	Cryptorchidism	
RNA5SP73	C0010417	Cryptorchidism	
BRINP3	C0010417	Cryptorchidism	
TSHZ1	C0010417	Cryptorchidism	
SMIM21	C0010417	Cryptorchidism	
NT5DC2	C0010417	Cryptorchidism	
SMIM4	C0010417	Cryptorchidism	
ANTXR2	C0010417	Cryptorchidism	
SNTG1	C0010417	Cryptorchidism	
TSPEAR	C0010417	Cryptorchidism	
KRTAP10-8	C0010417	Cryptorchidism	
RPL29P27	C0010417	Cryptorchidism	
FAR2	C0010417	Cryptorchidism	
DCP2	C0010417	Cryptorchidism	
RNA5SP231	C0010417	Cryptorchidism	
AUTS2	C0010417	Cryptorchidism	
RAD51B	C0010417	Cryptorchidism	
GUCY1A3	C0010417	Cryptorchidism	
NCALD	C0010417	Cryptorchidism	
SEMA4D	C0010417	Cryptorchidism	
RNU105B	C0010417	Cryptorchidism	
PLCB4	C0010417	Cryptorchidism	
DLGAP1	C0010417	Cryptorchidism	
AGMO	C0010417	Cryptorchidism	
PHF2	C0010417	Cryptorchidism	
MIR1305	C0010417	Cryptorchidism	
DCTD	C0010417	Cryptorchidism	
LOC643542	C0010417	Cryptorchidism	
LOC101927286	C0010417	Cryptorchidism	
MYO10	C0010417	Cryptorchidism	
SLC35F3	C0010417	Cryptorchidism	
ANKRD34C-AS1	C0010417	Cryptorchidism	
PRKCE	C0010417	Cryptorchidism	
TENM2	C0010417	Cryptorchidism	
ZNF680	C0010417	Cryptorchidism	
SLC25A17	C0010417	Cryptorchidism	
KDM4C	C0010417	Cryptorchidism	
DBIP3	C0010417	Cryptorchidism	
SRL	C0010417	Cryptorchidism	
TMEM178B	C0010417	Cryptorchidism	
LINC01111	C0010417	Cryptorchidism	
IQCE	C0010417	Cryptorchidism	
TTYH3	C0010417	Cryptorchidism	
RNU7-51P	C0010417	Cryptorchidism	
RNU3P3	C0010417	Cryptorchidism	
FAM208A	C0010417	Cryptorchidism	
ARHGEF3	C0010417	Cryptorchidism	
KIF5B	C0010417	Cryptorchidism	
RPS4XP11	C0010417	Cryptorchidism	
GREM1	C0010417	Cryptorchidism	
DYRK1A	C0010417	Cryptorchidism	
LINC00824	C0008924	Cleft Lip	
LINC00977	C0008924	Cleft Lip	
IRF6	C0008924	Cleft Lip	
NTN1	C0008924	Cleft Lip	
DIEXF	C0008924	Cleft Lip	
CREBBP	C0008924	Cleft Lip	
ADCY9	C0008924	Cleft Lip	
HSPE1P1	C0008924	Cleft Lip	
MAFB	C0008924	Cleft Lip	
SHTN1	C0008924	Cleft Lip	
NOG	C0008924	Cleft Lip	
C17orf67	C0008924	Cleft Lip	
ADTRP	C0008924	Cleft Lip	
GTSCR1	C0008924	Cleft Lip	
CBLN2	C0008924	Cleft Lip	
THADA	C0008924	Cleft Lip	
RPL23P4	C0008924	Cleft Lip	
MIR4268	C0008924	Cleft Lip	
RNA5SP291	C0008924	Cleft Lip	
SMC2	C0008924	Cleft Lip	
LINC01080	C0008924	Cleft Lip	
SPRY2	C0008924	Cleft Lip	
GREM1	C0008924	Cleft Lip	
FMN1	C0008924	Cleft Lip	
ANKFN1	C0008924	Cleft Lip	
RPL39P33	C0008924	Cleft Lip	
IRF6	C0008925	Cleft Palate	
NTN1	C0008925	Cleft Palate	
CREBBP	C0008925	Cleft Palate	
ADCY9	C0008925	Cleft Palate	
HSPE1P1	C0008925	Cleft Palate	
MAFB	C0008925	Cleft Palate	
SHTN1	C0008925	Cleft Palate	
RPL23P4	C0008925	Cleft Palate	
MIR4268	C0008925	Cleft Palate	
SLC2A9	C0008925	Cleft Palate	
TF	C0018995	Hemochromatosis	
RET	C0019569	Hirschsprung Disease	
NRG1	C0019569	Hirschsprung Disease	
STIM2	C0019569	Hirschsprung Disease	
MRPL51P1	C0019569	Hirschsprung Disease	
SLC6A20	C0019569	Hirschsprung Disease	
DEFB128	C0019569	Hirschsprung Disease	
DEFB129	C0019569	Hirschsprung Disease	
MEMO1P3	C0019569	Hirschsprung Disease	
HMGN2P26	C0019569	Hirschsprung Disease	
TCF4	C0016781	Fuchs' Endothelial Dystrophy	
PTPRG	C0016781	Fuchs' Endothelial Dystrophy	
DLG2	C0027708	Wilms Tumor	
DDX1	C0027708	Wilms Tumor	
RNU5E-7P	C0027708	Wilms Tumor	
TCN2	C0027708	Wilms Tumor	
PCBP2P3	C0027708	Wilms Tumor	
LDHBP3	C0027708	Wilms Tumor	
NHS	C0027708	Wilms Tumor	
PCSK9	C0027708	Wilms Tumor	
HMGB1P47	C0005689	Bladder Exstrophy	
KATNBL1P4	C0005689	Bladder Exstrophy	
MEGF6	C0005689	Bladder Exstrophy	
EEF1A1P14	C0005689	Bladder Exstrophy	
KCNT2	C0005689	Bladder Exstrophy	
C8orf4	C0005689	Bladder Exstrophy	
ZMAT4	C0005689	Bladder Exstrophy	
PREX2	C0005689	Bladder Exstrophy	
RNA5SP208	C0005689	Bladder Exstrophy	
ADGRB3	C0005689	Bladder Exstrophy	
SMOC2	C0005689	Bladder Exstrophy	
DIRAS2	C0005689	Bladder Exstrophy	
OR7E109P	C0005689	Bladder Exstrophy	
MIR6774	C0005689	Bladder Exstrophy	
LINC01082	C0005689	Bladder Exstrophy	
CELSR1	C0005689	Bladder Exstrophy	
SRIP1	C0005689	Bladder Exstrophy	
